OID,Location,GEOID,County_Zone,State,Date,Time,Year,Time_Zone,Type,Magnitude,Deaths,Injuries,Property_Damage,Crop_Damage
0,Lake Hartwell,13147,HART CO.,GA,3/31/93,20:35,1993,EST,Tornado,F1,0,0,5000,50000
1,Centralia,20131,NEMAHA CO.,KS,5/6/93,16:47,1993,CST,Tornado,F2,0,0,5000000,50000
2,Arrington,20005,ATCHISON CO.,KS,5/6/93,17:55,1993,CST,Tornado,F2,0,0,500000,50000
3,HUERFANO CO.,8055,HUERFANO CO.,CO,5/25/93,16:30,1993,MST,Tornado,F1,0,0,500000,0
4,JOHNSON CO.,56019,JOHNSON CO.,WY,5/28/93,17:53,1993,MST,Tornado,F0,0,0,0,0
5,Springfield,42045,DELAWARE CO.,PA,9/27/93,14:15,1993,EST,Tornado,F1,0,0,5000000,0
6,Ragland to 5 NE Rock,01115,ST. CLAIR CO.,AL,3/27/94,10:55,1994,CST,Tornado,F4,22,150,500000,50000000
7,Ida Grove,19093,IDA CO.,IA,7/6/94,0:30,1994,CST,Thunderstorm Wind,50 kts.,0,0,5000,500
8,Dover,42133,YORK CO.,PA,7/21/94,19:04,1994,EST,Tornado,F0,0,0,50000,0
9,Royersford,42091,MONTGOMERY CO.,PA,7/27/94,22:45,1994,EST,Thunderstorm Wind,0 kts.,0,0,50000,0
10,MONTGOMERY CO.,42091,MONTGOMERY CO.,PA,7/27/94,22:52,1994,EST,Tornado,F3,3,25,50000000,0
11,Zeiglersville,42091,MONTGOMERY CO.,PA,7/27/94,23:00,1994,EST,Thunderstorm Wind,0 kts.,0,0,5000,0
12,Green Lane,42091,MONTGOMERY CO.,PA,7/27/94,23:30,1994,EST,Thunderstorm Wind,0 kts.,0,0,500000,0
13,N. Egremont,25003,BERKSHIRE CO.,MA,5/29/95,18:06,1995,EST,Tornado,F4,3,24,250,0
14,Higgins,48295,LIPSCOMB CO.,TX,6/8/95,22:20,1995,CST,Hail,1.75 in.,0,0,0,0
15,MARION JCT,01047,DALLAS CO.,AL,3/6/96,3:42,1996,CST,Tornado,F3,4,40,8000000,50000
16,BEECHWOOD,55117,SHEBOYGAN CO.,WI,7/18/96,19:10,1996,CST,Tornado,F1,0,0,250000,200
17,FREDONIA,55089,OZAUKEE CO.,WI,7/18/96,19:18,1996,CST,Tornado,F1,0,0,300000,230000
18,WILMOT,55059,KENOSHA CO.,WI,7/24/96,14:05,1996,CST,Tornado,F0,0,0,0,0
19,WOLFSBURG,42009,BEDFORD CO.,PA,11/8/96,8:30,1996,EST,Tornado,F1,0,1,500000,0
20,BURNHAM,42087,MIFFLIN CO.,PA,11/8/96,9:45,1996,EST,Tornado,F1,0,0,40000,0